0 2.2125e-04 -2.8368e-02 7.2586e-03 -2.5285e-02 6.6121e-06 6.5151e-06 3.1684e-03 -3.1739e-02 -1.1562e+02 -1.7936e+02
1 -4.8069e-03 2.5700e-02 -2.3903e-03 2.8052e-02 6.7356e-06 6.6511e-06 -6.9160e-04 1.0840e-02 -1.1752e+02 -1.6903e+02
2 5.4284e-02 3.1191e-02 4.9762e-02 2.2023e-02 4.3835e-06 4.4568e-06 9.1080e-02 9.0267e-02 -6.5699e+03 -6.7192e+03
3 1.8895e-02 2.3960e-02 2.6720e-02 2.9916e-02 6.6314e-06 6.6334e-06 -1.6727e-02 -1.3343e-02 -1.7139e+02 -1.9066e+02
4 1.2906e-02 3.4342e-02 1.8424e-02 4.6343e-02 6.5779e-06 6.3764e-06 -5.6357e-02 5.6425e-03 -1.4701e+02 -2.5403e+02
5 -2.5667e-02 2.7062e-02 -2.6710e-02 2.7736e-02 6.6036e-06 6.4479e-06 -5.8762e-02 -1.8209e-01 -1.6607e+02 -1.5707e+02
6 1.6169e-02 -1.1098e-02 1.7017e-02 -1.0944e-02 6.6151e-06 6.5751e-06 8.2152e-02 5.5648e-02 -1.1169e+02 -1.0753e+02
7 2.5942e-02 -1.8600e-02 3.1156e-02 -1.3442e-02 6.6978e-06 6.6044e-06 -4.1338e-02 1.9115e-02 -1.7952e+02 -1.6208e+02
8 4.0691e-02 -5.5097e-03 4.2377e-02 -4.8371e-03 6.5349e-06 6.6334e-06 6.0569e-02 1.1570e-01 -2.1807e+02 -1.0749e+02
9 -2.1539e-02 1.8714e-02 -2.1639e-02 2.0283e-02 6.4590e-06 6.5851e-06 7.4931e-02 6.6932e-02 -1.4178e+02 -1.1260e+02
10 -3.2458e-02 -2.3101e-02 -2.9435e-02 -1.9032e-02 6.4365e-06 6.5744e-06 2.1286e-02 1.0999e-02 -1.9905e+02 -1.7499e+02
11 -1.6661e-02 8.2494e-03 2.2123e-03 1.6866e-02 6.4342e-06 6.6662e-06 2.3195e-02 -4.6209e-03 -1.8752e+02 -1.6956e+02
12 3.6624e-02 -2.9036e-02 4.5849e-02 7.7442e-03 6.2787e-06 6.3122e-06 -2.2583e-02 -1.9097e-02 -2.7972e+02 -2.3578e+02
13 -2.6622e-02 3.7724e-02 -2.3207e-02 4.0982e-02 6.5363e-06 6.6705e-06 4.5381e-02 3.0522e-02 -1.7426e+02 -2.2544e+02
